Year,Extreme ($2.15),Lower ($3.65),Upper ($6.85),Inequality
1977,63.1,88.72,97.11,3.91
1977,68.59,91.86,98.08,3.54
1977,43.68,77.61,93.67,4.37
1977,68.6,92.04,98.51,3.54
1977,43.68,78.0,94.97,4.36
1977,63.11,88.95,97.73,3.88
1983,62.28,90.07,97.77,3.58
1983,56.39,86.17,96.56,3.91
1983,56.26,86.4,97.32,3.92
1983,37.65,73.76,92.71,4.1
1983,62.09,90.22,98.28,3.62
1983,37.67,74.21,94.27,4.12
1987,36.61,71.4,91.36,4.38
1987,55.2,87.95,97.76,3.37
1987,50.58,83.63,95.7,3.69
1987,55.19,87.67,97.13,3.35
1987,50.59,83.95,96.6,3.72
1987,36.62,71.86,93.1,4.4
1993,53.46,87.19,97.66,3.22
1993,47.62,81.95,95.55,3.63
1993,31.17,67.71,91.91,4.26
1993,53.49,87.48,98.23,3.23
1993,47.64,82.3,96.57,3.65
1993,31.16,67.19,89.63,4.26
2004,39.9,76.26,92.95,3.87
2004,39.91,76.63,94.43,3.87
2004,26.61,60.14,88.05,4.76
2004,45.32,83.33,97.02,3.27
2004,26.6,59.74,85.27,4.77
2004,45.31,82.97,96.07,3.28
2009,37.92,79.23,95.68,3.27
2009,32.84,71.09,91.12,3.95
2009,37.96,79.67,96.67,3.29
2009,21.31,53.14,84.26,4.94
2009,21.3,52.62,80.76,4.94
2009,32.87,71.56,92.88,3.96
2011,14.22,45.31,80.08,4.96
2011,22.51,61.72,87.47,4.06
2011,22.53,62.3,89.88,4.05
2011,26.32,70.03,94.34,3.44
2011,26.28,69.44,92.54,3.42
2011,14.22,44.75,76.31,4.96
2015,18.72,60.32,86.68,4.0
2015,21.99,65.89,90.9,3.44
2015,12.02,48.9,78.03,4.82
2015,18.73,60.94,88.9,4.0
2015,22.0,66.51,92.72,3.44
2015,12.02,49.51,81.06,4.81
2016,18.11,59.83,88.7,3.98
2016,20.09,65.96,92.56,3.35
2016,14.11,47.47,80.92,5.02
2016,18.09,59.23,86.36,3.98
2016,20.08,65.34,90.82,3.35
2016,14.1,46.91,77.4,5.0
2017,13.36,53.7,82.5,4.19
2017,14.59,61.47,88.1,3.46
2017,10.93,38.33,71.44,5.28
2017,13.37,54.35,85.34,4.19
2017,10.94,38.88,75.94,5.29
2017,14.6,62.18,90.1,3.46
2018,9.93,32.2,64.38,5.37
2018,11.09,46.84,82.56,4.33
2018,11.67,53.35,86.79,3.42
2018,11.08,46.15,79.16,4.33
2018,9.94,32.69,69.53,5.34
2018,11.68,54.14,89.29,3.42
2019,10.0,44.12,80.28,4.08
2019,11.9,50.66,86.59,3.37
2019,6.38,31.68,68.29,5.15
2019,10.01,44.78,83.83,4.08
2019,11.92,51.36,89.6,3.39
2019,6.39,32.28,72.86,5.14
